timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1605374169,57,62,65,67
1605374170,57,62,65,67
1605374171,57,62,64,67
1605374172,56,62,64,67
1605374173,56,63,64,68
1605374174,56,63,64,68
1605374175,55,63,63,68
1605374176,55,63,63,67
1605374177,55,63,63,67
1605374178,56,64,62,67
1605374179,56,64,62,67
1605374180,56,64,62,67
1605374181,56,64,62,67
1605374182,56,64,63,67
1605374183,57,64,63,68
1605374184,57,64,63,68
1605374185,57,63,63,68
1605374186,57,63,63,68
1605374187,57,62,65,68
1605374188,57,62,66,68
1605374189,56,62,66,68
1605374190,56,62,66,69
1605374191,55,62,68,69
1605374192,54,62,68,69
1605374193,54,62,68,69
1605374194,54,63,68,69
1605374195,53,63,69,69
1605374196,53,63,69,69
1605374197,53,64,69,70
1605374198,54,65,69,70
1605374199,54,65,69,69
1605374200,54,65,68,69
1605374201,55,65,68,69
1605374202,55,65,68,69
1605374203,55,65,68,68
1605374204,55,65,68,68
1605374205,55,66,68,68
1605374206,55,66,68,68
1605374207,55,66,68,67
1605374208,55,65,68,67
1605374209,55,65,68,68
1605374210,54,65,68,68
1605374211,53,65,68,68
1605374212,53,65,68,68
1605374213,53,65,68,68
1605374214,53,65,67,68
1605374215,53,65,67,68
1605374216,53,65,67,68
1605374217,53,64,67,68
1605374218,53,64,67,68
1605374219,54,63,66,68
1605374220,54,63,66,68
1605374221,54,63,66,68
1605374222,54,62,66,68
1605374223,54,62,66,69
1605374224,54,62,66,70
1605374225,54,62,66,70
1605374226,54,62,66,70
1605374227,53,62,66,71
1605374228,53,62,66,71
1605374229,53,63,66,72
1605374230,53,63,66,72
1605374231,53,63,66,72
1605374232,53,64,66,72
1605374233,54,64,66,72
1605374234,54,64,66,72
1605374235,54,64,67,72
1605374236,55,64,67,72
1605374237,55,64,67,71
1605374238,55,64,68,71
1605374239,55,64,68,71
1605374240,56,64,68,70
1605374241,56,64,68,69
1605374242,56,64,68,69
1605374243,56,64,69,69
1605374244,56,64,68,68
1605374245,56,64,67,68
1605374246,56,64,67,68
1605374247,55,64,66,68
1605374248,55,64,66,69
1605374249,55,63,65,69
1605374250,55,63,65,69
1605374251,55,63,65,69
1605374259,56,63,65,70
1605374260,56,62,65,70
1605374261,56,62,65,70
1605374262,56,62,65,70
1605374263,56,62,66,70
1605374264,55,61,66,70
1605374265,55,61,66,70
1605374266,55,61,66,70
1605374267,55,61,65,70
1605374268,54,61,65,70
1605374269,54,62,65,70
1605374270,54,62,65,69
1605374271,53,62,66,70
1605374272,53,62,66,70
1605374273,53,62,66,70
1605374274,53,62,66,69
1605374275,53,62,66,69
1605374276,53,62,67,67
1605374277,54,62,67,67
1605374278,54,62,67,67
1605374279,54,62,67,67
1605374280,54,63,67,67
1605374281,54,63,67,67
